2019-05-29 14:46:12 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  34,3; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4933.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  33,3; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4932.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  32,3; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4931.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  31,3; Parcels:      0; Health: 1030.0; Health Usage: 1030.0; Fuel: 4930.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  30,3; Parcels:      0; Health: 1035.0; Health Usage: 1035.0; Fuel: 4929.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  29,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4928.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  28,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4927.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  27,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4926.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  26,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4925.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  25,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4924.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  24,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4923.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  23,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4922.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  22,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4921.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  21,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4920.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  20,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4919.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  19,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4918.0; Tile: ROAD
2019-05-29 14:46:13 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  18,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4917.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4916.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4915.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4914.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4913.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4912.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4911.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4910.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4909.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4908.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4907.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   7,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4906.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   6,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4905.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   5,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4904.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   4,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4903.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4902.0; Tile: ROAD
2019-05-29 14:46:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   2,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4901.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   1,3; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4900.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   1,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4899.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   2,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4898.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   3,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4897.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   4,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4896.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4895.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4894.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   7,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4893.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   8,2; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4892.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4891.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   7,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4890.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   6,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4889.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   5,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4888.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   4,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4887.0; Tile: ROAD
2019-05-29 14:46:15 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   3,1; Parcels:      0; Health: 1040.0; Health Usage: 1040.0; Fuel: 4886.0; Tile: ROAD
